time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
6240,1.666600,319.9674,319.9730,319.9896,320.0172,320.0556,320.1047,320.1643,320.2342,320.3140,320.4036,320.5028,320.6114,320.7297,320.8576,320.9955,321.1436,321.3027,,,,,321.4158
6300,1.664000,320.0706,320.0760,320.0922,320.1191,320.1567,320.2047,320.2631,320.3316,320.4100,320.4982,320.5957,320.7025,320.8183,320.9429,321.0761,321.2182,321.3702,,,,,321.4737
6360,1.661400,320.1714,320.1767,320.1926,320.2190,320.2558,320.3030,320.3602,320.4273,320.5041,320.5902,320.6854,320.7891,320.9010,321.0205,321.1471,321.2802,321.4200,,,,,321.5095
6420,1.658800,320.2703,320.2755,320.2910,320.3169,320.3529,320.3989,320.4548,320.5201,320.5947,320.6780,320.7696,320.8688,320.9750,321.0876,321.2058,321.3293,321.4584,,,,,321.5374
6480,1.656200,320.3669,320.3719,320.3871,320.4122,320.4472,320.4918,320.5458,320.6088,320.6804,320.7601,320.8473,320.9413,321.0414,321.1469,321.2571,321.3718,321.4910,,,,,321.5605
6540,1.653600,320.4605,320.4654,320.4800,320.5042,320.5379,320.5807,320.6325,320.6927,320.7610,320.8368,320.9196,321.0090,321.1050,321.2080,321.3193,321.4415,321.5795,,,,,321.6626
6600,1.651000,320.5505,320.5552,320.5692,320.5923,320.6246,320.6656,320.7152,320.7730,320.8389,320.9125,320.9939,321.0829,321.1796,321.2841,321.3962,321.5155,321.6415,,,,,321.7082
6660,1.648400,320.6368,320.6413,320.6548,320.6771,320.7082,320.7480,320.7961,320.8525,320.9168,320.9889,321.0683,321.1546,321.2474,321.3460,321.4496,321.5578,321.6701,,,,,321.7261
6720,1.645800,320.7202,320.7246,320.7377,320.7594,320.7896,320.8282,320.8749,320.9295,320.9917,321.0609,321.1367,321.2187,321.3063,321.3991,321.4972,321.6008,321.7115,,,,,321.7653
6780,1.643200,320.8012,320.8055,320.8181,320.8391,320.8683,320.9055,320.9504,321.0029,321.0624,321.1287,321.2014,321.2803,321.3652,321.4563,321.5542,321.6601,321.7766,,,,,321.8312
